ambiguity,method,person_accuracy_mean,person_accuracy_se,group_exact_mean,group_exact_se,abs_bias_mean,abs_bias_se,group_person_mean,group_person_se
0.5,Greedy person-level,0.55,0.014285714285714289,0.4,0.042857142857142844,1.8372872056650031,0.5523116273182289,0.6464285714285715,0.0035714285714285583
0.5,Hungarian person-level,0.6392857142857142,0.024999999999999963,0.5285714285714286,0.028571428571428577,1.443429250700376,0.4006136019707611,0.7178571428571429,0.017857142857142905
0.5,Set-aware group-first,0.85,0.06428571428571428,0.9071428571428571,0.06428571428571428,0.274682755677059,0.274682755677059,0.9071428571428571,0.06428571428571428
1.0,Greedy person-level,0.3464285714285714,0.010714285714285732,0.15,0.007142857142857144,3.542466793006863,0.7566294847456908,0.4,0.007142857142857144
1.0,Hungarian person-level,0.40714285714285714,0.014285714285714289,0.2,0.014285714285714275,3.5437553262611594,0.5226615545233279,0.43214285714285716,0.0035714285714285865
1.0,Set-aware group-first,0.6285714285714286,0.028571428571428577,0.6785714285714286,0.007142857142857173,1.4371385044002167,0.019356298900603974,0.6785714285714286,0.007142857142857173
1.5,Greedy person-level,0.24642857142857144,0.039285714285714264,0.08571428571428572,0.0,3.9503574951785154,0.8588114656958439,0.28928571428571426,0.010714285714285702
1.5,Hungarian person-level,0.3214285714285714,0.007142857142857144,0.12142857142857143,0.021428571428571422,3.70493556494268,0.20130024837006033,0.3571428571428571,0.021428571428571436
1.5,Set-aware group-first,0.47857142857142854,0.1214285714285714,0.5214285714285715,0.10714285714285712,2.263564471799757,1.0739818673043935,0.5214285714285715,0.10714285714285712
2.0,Greedy person-level,0.2,0.0,0.06428571428571428,0.02142857142857143,5.3037737916284335,0.13895745262687242,0.23214285714285715,0.003571428571428572
2.0,Hungarian person-level,0.21071428571428572,0.0035714285714285583,0.05714285714285714,0.028571428571428567,5.108780395693529,0.3552993673377429,0.24285714285714285,0.007142857142857144
2.0,Set-aware group-first,0.5142857142857142,0.02857142857142855,0.5285714285714286,0.028571428571428577,3.4967646683252553,0.12408709164152042,0.5285714285714286,0.028571428571428577
2.5,Greedy person-level,0.1357142857142857,0.007142857142857144,0.02142857142857143,0.007142857142857142,5.159319568016315,0.5193322011025927,0.15,0.007142857142857144
2.5,Hungarian person-level,0.175,0.017857142857142863,0.014285714285714285,0.014285714285714284,4.879589668673862,0.6751695759948254,0.18214285714285716,0.010714285714285718
2.5,Set-aware group-first,0.4,0.0,0.42142857142857143,0.007142857142857117,3.46773588971892,0.15622300182984714,0.42142857142857143,0.007142857142857117
